 * Serving Flask app 'app'
 * Debug mode: off
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5001
[33mPress CTRL+C to quit[0m
127.0.0.1 - - [27/Dec/2025 19:11:26] "[33mGET /api/presentations/1 HTTP/1.1[0m" 404 -
127.0.0.1 - - [27/Dec/2025 19:32:28] "[36mGET /assets/cracker_aisle_how.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:32:28] "[36mGET /assets/brain_gears.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:32:28] "[36mGET /assets/cognitive_bias_blue.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:32:28] "[36mGET /assets/cognitave_bias_causes.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:32:28] "[36mGET /assets/survivor_plane.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:32:28] "[36mGET /assets/cognitive_load.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:32:28] "[36mGET /assets/cognitive_barriers.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:33:20] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:34:21] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:35:21] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:35:38] "[36mGET /assets/survivor_plane.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:35:42] "PUT /api/slides/223 HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:35:42] "GET /api/presentations/7 HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:35:46] "PUT /api/slides/223 HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:35:46] "GET /api/presentations/7 HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:36:47] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:37:47] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:38:47] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:38:51] "GET /output/presentation.html?t=1766885548372 HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:38:51] "[36mGET /assets/cause_effect.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:38:51] "[36mGET /assets/caffeine.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:38:51] "[36mGET /assets/synthesis.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:38:51] "[36mGET /assets/swot.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:38:51] "[36mGET /assets/value_chart.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:38:51] "[36mGET /assets/skibinski.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:38:51] "[36mGET /assets/conjoint.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:38:51] "[36mGET /assets/root_cause.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:38:51] "[36mGET /assets/title-background.jpg HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:38:51] "[36mGET /assets/MU_colorbar.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:38:51] "[36mGET /assets/NPA-ABCs.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:38:51] "[36mGET /assets/cover.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:38:51] "[36mGET /assets/venn.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:38:51] "[36mGET /assets/general_store.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:38:51] "[36mGET /assets/camay_soap_ad.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:38:51] "[36mGET /assets/control_agility.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:38:51] "[36mGET /assets/info-data-insights.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:38:51] "[36mGET /assets/factry_line.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:38:51] "[36mGET /assets/chckerboard_illusion.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:38:51] "[36mGET /assets/cracker_aisle_how.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:38:51] "[36mGET /assets/cracker_aisle.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:38:51] "[36mGET /assets/brain_gears.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:38:51] "[36mGET /assets/cognitive_bias_blue.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:38:51] "[36mGET /assets/survivor_plane.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:38:51] "[36mGET /assets/cognitave_bias_causes.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:38:51] "[36mGET /assets/cognitive_barriers.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:38:51] "[36mGET /assets/cognitive_load.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:38:51] "[36mGET /assets/milkshake.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:38:51] "[36mGET /assets/bagel_and_shake.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:38:51] "[36mGET /assets/journalism_school_logo.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:39:46] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:40:47] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:41:47] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:41:47] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:41:47] "GET /api/presentations HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:41:49] "GET /api/presentations/7 HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:42:01] "POST /api/decks/9/preview HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:42:01] "GET /output/presentation.html?t=1766886121838 HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:42:02] "[36mGET /assets/general_store.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:42:02] "[36mGET /assets/title-background.jpg HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:42:02] "[36mGET /assets/MU_colorbar.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:42:02] "[36mGET /assets/camay_soap_ad.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:42:02] "[36mGET /assets/control_agility.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:42:02] "[36mGET /assets/info-data-insights.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:42:02] "[36mGET /assets/chckerboard_illusion.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:42:02] "[36mGET /assets/factry_line.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:42:02] "[36mGET /assets/cracker_aisle.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:42:02] "[36mGET /assets/cracker_aisle_how.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:42:02] "[36mGET /assets/brain_gears.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:42:02] "[36mGET /assets/cognitave_bias_causes.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:42:02] "[36mGET /assets/cognitive_bias_blue.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:42:02] "[36mGET /assets/cognitive_barriers.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:42:02] "[36mGET /assets/survivor_plane.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:42:02] "[36mGET /assets/journalism_school_logo.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:42:02] "[36mGET /assets/cognitive_load.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:42:50] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:43:50] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:44:00] "POST /api/decks/9/preview HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:44:00] "GET /output/presentation.html?t=1766886240652 HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:44:00] "[36mGET /assets/general_store.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:44:00] "[36mGET /assets/title-background.jpg HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:44:00] "[36mGET /assets/MU_colorbar.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:44:00] "[36mGET /assets/camay_soap_ad.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:44:00] "[36mGET /assets/factry_line.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:44:00] "[36mGET /assets/control_agility.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:44:00] "[36mGET /assets/info-data-insights.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:44:00] "[36mGET /assets/chckerboard_illusion.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:44:00] "[36mGET /assets/cracker_aisle.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:44:00] "[36mGET /assets/cracker_aisle_how.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:44:00] "[36mGET /assets/brain_gears.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:44:00] "[36mGET /assets/cognitive_bias_blue.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:44:00] "[36mGET /assets/survivor_plane.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:44:00] "[36mGET /assets/cognitave_bias_causes.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:44:00] "[36mGET /assets/cognitive_barriers.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:44:00] "[36mGET /assets/cognitive_load.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:44:00] "[36mGET /assets/journalism_school_logo.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 19:44:50] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:45:51] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:46:51] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:47:51] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:48:51] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:49:52] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:50:52] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:51:53] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:52:53] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:53:53] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:54:54] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:55:54] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:56:55] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:57:55] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:58:55] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 19:59:56] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:00:56] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:01:56] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:02:56] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:03:57] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:04:57] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:05:57] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:06:58] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:07:58] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:08:59] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:09:59] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:11:00] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:12:00] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:13:01] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:14:02] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:15:02] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:16:03] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:17:03] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:18:04] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:19:04] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:20:04] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:21:04] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:22:05] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:23:05] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:24:06] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:25:07] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:26:07] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:27:08] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:28:08] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:29:08] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:30:09] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:31:09] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:32:09] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:33:10] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:34:10] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:35:10] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:36:11] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:37:12] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:38:13] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:39:13] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:40:13] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:41:14] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:42:15] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:43:15] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:44:15] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:45:16] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:46:16] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:47:16] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:48:16] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:49:17] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:50:17] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:51:17] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:52:18] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:53:18] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:54:19] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:55:19] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:56:19] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:57:19] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:58:19] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 20:59:19] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:00:19] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:01:19] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:02:19] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:03:19] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:04:19] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:05:19] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:06:19] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:31:48] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:32:27] "PUT /api/slides/237 HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:32:27] "GET /api/presentations/7 HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:32:28] "[36mGET /assets/milkshake.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 21:32:37] "PUT /api/slides/244 HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:32:37] "GET /api/presentations/7 HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:32:41] "PUT /api/slides/246 HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:32:41] "GET /api/presentations/7 HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:32:44] "PUT /api/slides/247 HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:32:44] "GET /api/presentations/7 HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:32:46] "PUT /api/slides/249 HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:32:46] "GET /api/presentations/7 HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:32:48] "[36mGET /assets/bagel_and_shake.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [27/Dec/2025 21:32:48] "PUT /api/slides/250 HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:32:48] "GET /api/presentations/7 HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:32:52] "PUT /api/slides/251 HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:32:52] "GET /api/presentations/7 HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:33:53] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:34:08] "PUT /api/slides/251 HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:34:08] "GET /api/presentations/7 HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:34:16] "PUT /api/slides/251 HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:34:16] "GET /api/presentations/7 HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:34:25] "PUT /api/slides/251 HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:34:25] "GET /api/presentations/7 HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:35:03] "PUT /api/slides/251 HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:35:03] "GET /api/presentations/7 HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:35:06] "PUT /api/slides/251 HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:35:06] "GET /api/presentations/7 HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:35:11] "PUT /api/slides/251 HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:35:11] "GET /api/presentations/7 HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:36:11] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:37:11] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:38:11] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:39:11] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:40:11] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:41:11] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:42:11] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:43:11] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:44:11] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:45:11] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:46:11] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:47:12] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:48:12] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:49:12] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:50:13] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:53:27] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:54:27] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:55:27] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:56:27] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:57:27] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:58:27] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 21:59:27] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 22:00:27] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 22:01:27] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 22:02:27] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 22:03:27] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 22:04:27] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 22:05:27] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 22:06:27] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 22:07:27] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 22:08:27] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 22:12:15] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 22:15:54] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 22:17:15] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
127.0.0.1 - - [27/Dec/2025 22:18:15] "POST /api/presentations/7/auto-export HTTP/1.1" 200 -
